Team,RUS
BAS,Бастия
BOR,Бордо
GUI,Генгам
CAE,Кан
RCL,Ланс
LIL,Лилль
OL,Лион
LOR,Лорьян
OM,Марсель
MET,Метц
ASM,Монако
MHS,Монпелье
NAN,Нант
NIC,Ницца
PSG,ПСЖ
REI,Реймс
REN,Ренн
STE,Сент-Этьен
TFC,Тулуза
EVI,Эвиан
