Team,RUS
ARS,Арсенал
AST,Астон Вилла
BUR,Бернли
WBA,Вест Бромвич
WHU,Вест Хэм
QPR,КПР
CRY,Кристал Пэлас
LEI,Лестер
LIV,Ливерпуль
MCI,Манчестер Сити
MUN,Манчестер Юнайтед
NEW,Ньюкасл
SUN,Сандерленд
SOU,Саутгемптон
STK,Сток Сити
SWA,Суонси
TOT,Тоттенхэм
HUL,Халл
CHE,Челси
EVE,Эвертон
