Team,RUS
ALM,Альмерия
ATH,Атлетик
ATM,Атлетико
BAR,Барселона
VAL,Валенсия
VILL,Вильярреал
GRA,Гранада
DEP,Депортиво
COR,Кордоба
LEV,Леванте
MLG,Малага
RVA,Райо Вальекано
RMA,Реал Мадрид
RSO,Реал Сосьедад
SEV,Севилья
CEL,Сельта
GET,Хетафе
EIB,Эйбар
ELC,Эльче
ESP,Эспаньол
