Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
CHE,AST,07.02.2015,G,Ivanovic,2-65,453.84,387.08,333.2,117.208
CHE,EVE,11.02.2015,G,Borges Da Silva ,2-88,530.8,485.99,422.64,157.941
CHE,BUR,21.02.2015,CG,Ivanovic,1-13,406,214.38,418.48,158.907
CHE,WHU,04.03.2015,CG,Hazard,1-21,372.72,220.66,391.44,134.435
CHE,WHU,04.03.2015,CS,,2-57,412.24,244.21,389.36,165.71
CHE,WHU,04.03.2015,CB,,2-93,428.88,335.27,403.92,179.84
CHE,SOU,15.03.2015,CG,Da Silva Costa,1-10,360.24,239.5,393.52,135.562
CHE,SOU,15.03.2015,CO,,2-89,278.08,270.9,533.92,127.512
CHE,SOU,15.03.2015,CS,,2-71,501.68,192.4,423.68,164.14
CHE,SOU,15.03.2015,CS,,2-71,393.52,269.33,396.64,176.7
CHE,SOU,15.03.2015,CS,,2-89,361.28,303.87,375.84,171.99
CHE,SOU,15.03.2015,CB,,2-89,310.32,270.9,335.28,184.55
CHE,HUL,22.03.2015,CG,Remy,2-76,400.8,328.99,372.72,157.941
CHE,HUL,22.03.2015,G,Da Silva Costa,1-8,160.56,324.28,422.64,127.351
CHE,HUL,22.03.2015,G,Hazard,1-1,257.28,501.69,423.68,134.435
CHE,STK,04.04.2015,CG,Hazard,1-38,380,341.55,361.28,160.034
CHE,STK,04.04.2015,CG,Remy,2-61,323.84,270.9,371.68,158.907
CHE,STK,04.04.2015,CO,,1-29,332.16,391.79,468.4,156.492
CHE,STK,04.04.2015,CS,,2-79,370.64,252.06,357.12,170.42
CHE,STK,04.04.2015,CS,,2-79,366.48,209.67,365.44,186.12
CHE,QPR,12.04.2015,CO,,1-44,350.88,259.91,411.2,37.996
CHE,QPR,12.04.2015,G,Fàbregas,2-87,333.2,385.51,339.44,158.907
CHE,MUN,18.04.2015,CG,Hazard,1-37,222.96,245.78,360.24,156.975
CHE,MUN,18.04.2015,CO,,2-53,314.48,186.12,341.52,96.761
CHE,ARS,26.04.2015,CS,,1-37,314.48,310.15,370.64,211.24
CHE,ARS,26.04.2015,CB,,1-15,459.04,365.1,398.72,225.37
CHE,LEI,29.04.2015,CG,Terry,2-78,391.44,181.41,429.92,131.376
CHE,LEI,29.04.2015,G,Drogba,2-47,398.72,281.89,354,160.034
CHE,LEI,29.04.2015,G,Santos do Nascimento,2-82,414.32,462.44,337.36,110.124
CHE,CRY,03.05.2015,CG,Hazard,1-44,381.04,275.61,413.28,157.941
CHE,CRY,03.05.2015,CS,,1-44,380,341.55,387.28,161
CHE,LIV,10.05.2015,G,Terry,1-4,357.12,270.9,402.88,154.882
CHE,WBA,18.05.2015,CS,,2-72,455.92,217.52,382.08,171.99
