Team,RUS
ATA,Аталанта
VER,Верона
GEN,Дженоа
INT,Интер
CAG,Кальяри
CHV,Кьево
LAZ,Лацио
MIL,Милан
NAP,Наполи
PAL,Палермо
PAR,Парма
ROM,Рома
SAM,Сампдория
SAS,Сассуоло
TOR,Торино
UDI,Удинезе
FIO,Фиорентина
CES,Чезена
EMP,Эмполи
JUV,Ювентус
