Team,RUS
ANR,Анжер
BAS,Бастия
BOR,Бордо
GFCOA,Газелек Аяччо
GUI,Генгам
CAE,Кан
LIL,Лилль
LYN,Лион
LOR,Лорьян
MAR,Марсель
MCO,Монако
MTP,Монпелье
NAN,Нант
NIC,Ницца
PSG,ПСЖ
REI,Реймс
REN,Ренн
STE,Сент-Этьен
TRO,Труа
TOU,Тулуза
