Team,RUS
ATH,Атлетик
ATM,Атлетико
BAR,Барселона
RBS,Бетис
VAL,Валенсия
VILL,Вильярреал
GRA,Гранада
DEP,Депортиво
LPA,Лас-Пальмас
LEV,Леванте
MLG,Малага
RVA,Райо Вальекано
RMA,Реал Мадрид
RSO,Реал Сосьедад
SEV,Севилья
CEL,Сельта
SPG,Спортинг Хихон
GET,Хетафе
EIB,Эйбар
ESP,Эспаньол
