Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
TOT,MUN,08.08.2015,CO,Christian Eriksen,1-4,265.6,314.86,401.84,73.738
MUN,TOT,08.08.2015,G,,1-22,,,,
BOU,AVL,08.08.2015,CO,Dan Gosling,1-36,404.96,328.99,451.76,73.738
AVL,BOU,08.08.2015,CG,Rudy Gestede,2-71,376.88,270.9,395.6,153.916
WAT,EVE,08.08.2015,G,Miguel Layún,1-13,421.6,338.41,345.68,125.258
EVE,WAT,08.08.2015,CO,Romelu Lukaku,2-49,299.92,256.77,291.6,123.004
EVE,WAT,08.08.2015,G,Ross Barkley,2-75,291.6,540.94,418.48,117.208
WAT,EVE,08.08.2015,G,Odion Ighalo,2-82,383.12,409.06,418.48,154.882
EVE,WAT,08.08.2015,G,Arouna Koné,2-85,556.8,266.19,357.12,156.975
LEI,SUN,08.08.2015,G,Jamie Vardy,1-10,229.2,344.69,427.84,130.41
LEI,SUN,08.08.2015,G,Riyad Mahrez,1-17,372.72,266.19,425.76,139.587
LEI,SUN,08.08.2015,CG,Riyad Mahrez,1-24,380,341.55,422.64,156.975
LEI,SUN,08.08.2015,CS,Jamie Vardy,1-26,288.48,391.79,347.76,288.17
LEI,SUN,08.08.2015,CO,Jamie Vardy,2-50,231.28,219.09,507.92,143.129
SUN, LEI,08.08.2015,CG,Jermain Defoe ,2-59,336.32,365.1,354,157.941
LEI,SUN,08.08.2015,G,Marc Albrighton,2-65,328,399.64,340.48,153.916
SUN, LEI,08.08.2015,CG,Steven Fletcher,2-70,361.28,233.22,369.6,139.587
NOR,CRY,08.08.2015,CO,Lewis Grabban,1-9,359.2,234.79,294.72,125.258
CRY,NOR,08.08.2015,CS,Glenn Murray,1-30,403.92,215.95,400.8,179.84
CRY,NOR,08.08.2015,G,Wilfried Zaha,1-38,299.92,231.65,340.48,154.882
CRY,NOR,08.08.2015,CG,Damien Delaney,2-48,282.24,198.68,346.72,150.857
NOR,CRY,08.08.2015,G,Nathan Redmond,2-68,423.68,578.62,337.36,151.823
CRY,NOR,08.08.2015,CG,Yohan Cabaye,2-93,449.68,336.84,395.6,156.975
SWA,CHE,08.08.2015,CS,Bafétimbi Gomis,1-14,522.48,456.16,380,182.98
CHE,SWA,08.08.2015,G,Oscar,1-22,21.2,415.34,414.32,143.612
SWA,CHE,08.08.2015,CS,Bafétimbi Gomis,1-28,430.96,280.32,377.92,178.27
SWA,CHE,08.08.2015,CB,André Ayew,1-28,355.04,259.91,356.08,206.53
SWA,CHE,08.08.2015,CG,André Ayew,1-28,341.52,272.47,419.52,144.739
CHE,SWA,08.08.2015,G,,1-29,,,,
SWA,CHE,08.08.2015,CG,Bafétimbi Gomis,2-54,380,341.55,411.2,158.907
WHU,ARS,09.08.2015,CG,Cheikhou Kouyaté,1-42,398.72,292.88,374.8,149.73
ARS,WHU,09.08.2015,CO,Olivier Giroud,1-88,470.48,250.49,475.68,58.121
SOU,NEW,09.08.2015,G,Graziano Pellè,1-23,297.84,294.45,337.36,155.848
NEW,SOU,09.08.2015,CG,Papiss Demba Cissé,1-41,384.16,168.85,376.88,132.503
SOU,NEW,09.08.2015,CS,Maya Yoshida,2-46,398.72,263.05,385.2,175.13
NEW,SOU,09.08.2015,G,Georginio Wijnaldum,2-47,425.76,294.45,347.76,114.149
SOU,NEW,09.08.2015,G,Shane Long,2-78,312.4,277.18,333.2,114.149
LIV,STK,09.08.2015,G,Philippe Coutinho,2-85,342.56,589.61,411.2,117.208
MCI,WBA,10.08.2015,G,David Silva,1-8,435.12,330.56,345.68,160.034
MCI,WBA,10.08.2015,G,Yaya Touré,1-23,383.12,457.73,404.96,110.124
MCI,WBA,10.08.2015,CS,Raheem Sterling,1-40,308.24,302.3,346.72,233.22
MCI,WBA,10.08.2015,G,Vincent Kompany,2-58,276,220.66,426.8,118.174
MCI,WBA,10.08.2015,CS,Sergio Agüero,2-88,314.48,285.03,346.72,171.99
MUN,AVL,14.08.2015,G,Adnan Januzaj ,1-28,225.04,245.78,409.12,160.034
MUN,AVL,14.08.2015,CO,Memphis Depay,2-72,286.4,407.49,459.04,138.621
EVE,SOU,15.08.2015,CG,Romelu Lukaku,1-21,328,270.9,422.64,104.006
EVE,SOU,15.08.2015,CS,Ross Barkley,1-28,387.28,388.65,374.8,211.24
EVE,SOU,15.08.2015,CO,Tom Cleverley,1-28,201.12,328.99,293.68,151.984
EVE,SOU,15.08.2015,G,Romelu Lukaku,1-44,357.12,449.88,419.52,156.975
EVE,SOU,15.08.2015,G,Ross Barkley,2-83,276,371.38,423.68,131.376
NOR,SUN,15.08.2015,CG,Russell Martin,1-25,361.28,244.21,358.16,156.975
NOR,SUN,15.08.2015,G,Steven Whittaker,1-36,556.8,270.9,341.52,145.705
NOR,SUN,15.08.2015,G,Nathan Redmond,2-56,528.72,302.3,418.48,158.907
SUN,NOR,15.08.2015,G,Duncan Watmore,2-87,400.8,371.38,340.48,154.882
SWA,NEW,15.08.2015,CG,Bafétimbi Gomis,1-8,328,291.31,380,160.034
SWA,NEW,15.08.2015,G,André Ayew,2-51,350.88,266.19,392.48,117.208
SWA,NEW,15.08.2015,CO,André Ayew,2-62,359.2,272.47,504.8,123.004
TOT,STK,15.08.2015,G,Eric Dier,1-18,349.84,248.92,366.48,123.326
STK,TOT,15.08.2015,CS,Mame Biram Diouf,1-43,361.28,270.9,365.44,197.11
TOT,STK,15.08.2015,CS,Ryan Mason,1-45,319.68,311.72,359.2,237.93
TOT,STK,15.08.2015,CG,Nacer Chadli,1-46,491.28,318,350.88,157.941
TOT,STK,15.08.2015,CS,Harry Kane,2-51,332.16,272.47,363.36,176.7
STK,TOT,15.08.2015,CS,Mame Biram Diouf,2-61,407.04,288.17,380,176.7
STK,TOT,15.08.2015,CG,Marko Arnautovic,2-77,381.04,339.98,337.36,150.857
STK,TOT,15.08.2015,CG,Mame Biram Diouf,2-82,346.72,219.09,409.12,150.857
STK,TOT,15.08.2015,CO,Stephen Ireland,2-86,409.12,269.33,436.16,64.883
WBA,WAT,15.08.2015,CO,Saido Berahino,2-79,325.92,217.52,296.8,127.512
LEI,WHU,15.08.2015,CS,Shinji Okazaki,1-26,288.48,319.57,346.72,233.22
LEI,WHU,15.08.2015,CG,Shinji Okazaki,1-26,349.84,175.13,381.04,126.385
LEI,WHU,15.08.2015,G,Riyad Mahrez,1-37,334.24,346.26,424.72,116.242
WHU,LEI,15.08.2015,G,Dimitri Payet,2-54,389.36,380.8,335.28,107.065
LEI,WHU,15.08.2015,CO,Daniel Drinkwater,2-74,527.68,385.51,385.2,31.234
ARS,CRY,16.08.2015,CB,Alexis Sánchez,1-6,494.4,314.86,468.4,270.9
ARS,CRY,16.08.2015,CB,Alexis Sánchez,1-6,488.16,241.07,417.44,168.85
ARS,CRY,16.08.2015,G,Olivier Giroud,1-15,419.52,341.55,345.68,152.789
CRY,ARS,16.08.2015,G,Joel Ward,1-27,582.8,481.28,335.28,158.907
CRY,ARS,16.08.2015,CO,Connor Wickham,2-47,417.44,270.9,434.08,112.056
ARS,CRY,16.08.2015,G,,2-54,,,,
MCI,CHE,16.08.2015,CS,Sergio Agüero,1-0,294.72,394.93,325.92,322.71
MCI,CHE,16.08.2015,CO,Sergio Agüero,1-20,364.4,219.09,291.6,154.238
MCI,CHE,16.08.2015,G,Sergio Agüero,1-31,415.36,380.8,333.2,160.034
MCI,CHE,16.08.2015,CO,Eliaquim Mangala,1-43,350.88,281.89,486.08,143.129
MCI,CHE,16.08.2015,G,Vincent Kompany,2-78,304.08,278.75,426.8,137.494
MCI,CHE,16.08.2015,G,Fernandinho,2-84,520.4,440.46,335.28,141.68
LIV,BOU,17.08.2015,CG,Christian Benteke,1-25,404.96,228.51,415.36,126.385
LIV,BOU,17.08.2015,CO,Philippe Coutinho,1-43,411.2,404.35,259.36,154.238
LIV,BOU,17.08.2015,CS,Christian Benteke,2-89,393.52,266.19,382.08,175.13
MUN,NEW,22.08.2015,CS,Javier Hernández,2-79,310.32,299.16,347.76,245.78
AVL,CRY,22.08.2015,CS,Gabriel Agbonlahor,1-13,312.4,319.57,359.2,259.91
CRY,AVL,22.08.2015,CO,Bakary Sako,2-64,477.76,313.29,451.76,127.512
CRY,AVL,22.08.2015,G,Scott Dann,2-70,398.72,291.31,363.36,116.242
AVL,CRY,22.08.2015,G,,2-76,,,,
CRY,AVL,22.08.2015,G,Bakary Sako,2-86,527.68,388.65,348.8,142.646
TOT,LEI,22.08.2015,CO,Nacer Chadli,2-47,582.8,252.06,421.6,37.996
TOT,LEI,22.08.2015,CG,Dele Alli,2-80,427.84,197.11,421.6,155.848
LEI,TOT,22.08.2015,G,Riyad Mahrez,2-81,605.68,360.39,335.28,128.317
LEI,TOT,22.08.2015,CS,Wes Morgan,2-87,417.44,286.6,377.92,192.4
STK,NOR,22.08.2015,CG,Mame Biram Diouf,1-10,330.08,281.89,337.36,139.587
NOR,STK,22.08.2015,CS,Russell Martin,1-27,381.04,283.46,385.2,190.83
NOR,STK,22.08.2015,G,Russell Martin,1-27,437.2,325.85,392.48,158.907
NOR,STK,22.08.2015,CO,Cameron Jerome,2-49,366.48,368.24,255.2,149.891
NOR,STK,22.08.2015,CO,Wes Hoolahan,2-50,358.16,321.14,461.12,129.766
NOR,STK,22.08.2015,CS,Nathan Redmond,2-60,413.28,335.27,387.28,245.78
NOR,STK,22.08.2015,CS,Cameron Jerome,2-85,341.52,236.36,354,192.4
STK,NOR,22.08.2015,CO,Joselu,2-88,486.08,266.19,331.12,33.488
NOR,STK,22.08.2015,CO,Bradley Johnson,2-90,317.6,231.65,362.32,35.742
SWA,SUN,22.08.2015,G,Bafétimbi Gomis,1-47,532.88,314.86,336.32,160.034
SWA,SUN,22.08.2015,CO,André Ayew,2-50,385.2,272.47,322.8,124.292
SUN,SWA,22.08.2015,G,Jermain Defoe ,2-61,425.76,388.65,337.36,156.975
BOU,WHU,22.08.2015,G,Callum Wilson,1-10,423.68,296.02,421.6,112.056
BOU,WHU,22.08.2015,CG,Callum Wilson,1-27,404.96,335.27,392.48,121.233
BOU,WHU,22.08.2015,CO,Joshua King,1-31,437.2,299.16,428.88,53.613
BOU,WHU,22.08.2015,CS,Max Gradel,1-47,334.24,382.37,382.08,217.52
WHU,BOU,22.08.2015,CG,Mark Noble,2-47,380,341.55,333.2,133.469
WHU,BOU,22.08.2015,CG,Cheikhou Kouyaté,2-52,498.56,203.39,401.84,104.972
BOU,WHU,22.08.2015,G,Marc Pugh,2-65,291.6,319.57,420.56,130.41
BOU,WHU,22.08.2015,CG,Callum Wilson,2-78,380,341.55,422.64,160.034
WHU,BOU,22.08.2015,G,Modibo Maiga,2-81,374.8,404.35,402.88,156.975
WBA,CHE,23.08.2015,CS,James Morrison,1-13,380,341.55,385.2,175.13
CHE,WBA,23.08.2015,G,Pedro,1-19,447.6,402.78,423.68,160.034
CHE,WBA,23.08.2015,CG,Diego Costa,1-29,350.88,256.77,358.16,134.435
WBA,CHE,23.08.2015,G,James Morrison,1-34,361.28,371.38,367.52,157.941
CHE,WBA,23.08.2015,CO,Willian,1-39,404.96,383.94,453.84,156.492
CHE,WBA,23.08.2015,G,César Azpilicueta,1-41,324.88,396.5,341.52,158.907
WBA,CHE,23.08.2015,G,James Morrison,2-58,314.48,308.58,422.64,110.124
MCI,EVE,23.08.2015,G,Aleksandar Kolarov,2-59,209.44,193.97,396.64,156.975
MCI,EVE,23.08.2015,CO,Jesús Navas,2-61,475.68,244.21,449.68,200.25
MCI,EVE,23.08.2015,CG,Samir Nasri,2-87,471.52,259.91,395.6,153.916
WAT,SOU,23.08.2015,CO,Etienne Capoue,2-65,340.48,178.27,340.48,87.262
LIV,ARS,24.08.2015,CS,Christian Benteke,1-38,401.84,233.22,396.64,175.13
ARS,LIV,24.08.2015,CO,Alexis Sánchez,2-59,280.16,277.18,323.84,132.503
ARS,LIV,24.08.2015,CS,Olivier Giroud,2-69,381.04,283.46,377.92,182.98
ARS,NEW,29.08.2015,CS,Theo Walcott,1-8,495.44,280.32,479.84,258.34
ARS,NEW,29.08.2015,CO,Theo Walcott,1-31,314.48,223.8,338.4,62.629
ARS,NEW,29.08.2015,G,Own goal,2-51,,,,
ARS,NEW,29.08.2015,CS,Olivier Giroud,2-92,454.88,333.7,434.08,280.32
SUN,AVL,29.08.2015,G,Yann M'Vila,1-7,541.2,515.82,420.56,119.301
AVL,SUN,29.08.2015,CG,Scott Sinclair,1-10,380,341.55,347.76,158.907
AVL,SUN,29.08.2015,CG,Scott Sinclair,1-40,378.96,226.94,377.92,104.006
SUN,AVL,29.08.2015,G,Jeremain Lens,2-51,453.84,387.08,384.16,152.789
BOU,LEI,29.08.2015,G,Callum Wilson,1-23,334.24,283.46,343.6,120.267
LEI,BOU,29.08.2015,CG,Jamie Vardy,2-85,380,341.55,414.32,127.351
CRY,CHE,29.08.2015,CO,Yohan Cabaye,1-28,421.6,399.64,406,230.08
CRY,CHE,29.08.2015,CG,Bakary Sako,2-64,385.2,313.29,380,114.149
CRY,CHE,29.08.2015,CO,Yannick Bolasie,2-73,302,259.91,296.8,131.859
CHE,CRY,29.08.2015,G,Falcao,2-78,418.48,256.77,420.56,158.907
CRY,CHE,29.08.2015,CG,Joel Ward,2-80,366.48,226.94,341.52,149.73
WHU,LIV,29.08.2015,CG,Manuel Lanzini,1-2,455.92,286.6,404.96,158.907
WHU,LIV,29.08.2015,G,Mark Noble,1-28,364.4,402.78,408.08,158.907
WHU,LIV,29.08.2015,G,Diafra Sakho,2-91,453.84,377.66,418.48,158.907
MCI,WAT,29.08.2015,CG,Raheem Sterling,2-46,413.28,245.78,420.56,160.034
MCI,WAT,29.08.2015,G,Fernandinho,2-55,602.56,278.75,333.2,131.376
STK,WBA,29.08.2015,CB,Mame Biram Diouf,1-27,342.56,217.52,349.84,198.68
WBA,STK,29.08.2015,CG,Salomón Rondón,1-47,302,245.78,421.6,133.469
TOT,EVE,29.08.2015,CS,Harry Kane,1-22,471.52,387.08,442.4,336.84
TOT,EVE,29.08.2015,CS,Ryan Mason,1-27,228.16,266.19,331.12,203.39
TOT,EVE,29.08.2015,CS,Ryan Mason,2-54,421.6,313.29,393.52,239.5
EVE,TOT,29.08.2015,CO,Arouna Koné,2-72,418.48,297.59,455.92,154.238
NOR,SOU,30.08.2015,CO,Cameron Jerome,1-19,374.8,259.91,203.2,147.637
SOU,NOR,30.08.2015,CG,Graziano Pellè,1-45,462.16,239.5,426.8,152.789
SOU,NOR,30.08.2015,CG,Dusan Tadic,2-63,269.76,310.15,418.48,112.056
SOU,NOR,30.08.2015,CS,Graziano Pellè,2-66,370.64,286.6,375.84,182.98
SOU,NOR,30.08.2015,CG,Dusan Tadic,2-66,398.72,173.56,401.84,158.907
SWA,MUN,30.08.2015,CO,Gylfi Sigurdsson,1-24,455.92,318,309.28,158.746
MUN,SWA,30.08.2015,CG,Juan Mata,2-47,437.2,201.82,407.04,102.879
SWA,MUN,30.08.2015,G,André Ayew,2-60,340.48,294.45,339.44,130.41
SWA,MUN,30.08.2015,G,Bafétimbi Gomis,2-65,552.64,263.05,402.88,158.907
