Team,RUS
ARS,Арсенал
AVL,Астон Вилла
BOU,Борнмут
WBA,Вест Бромвич
WHU,Вест Хэм
CRY,Кристал Пэлас
LEI,Лестер
LIV,Ливерпуль
MCI,Манчестер Сити
MUN,Манчестер Юнайтед
NOR,Норвич
NEW,Ньюкасл
SUN,Сандерленд
SOU,Саутгемптон
STK,Сток Сити
SWA,Суонси
TOT,Тоттенхэм
WAT,Уотфорд
CHE,Челси
EVE,Эвертон
