Team,RUS
AMK,Амкар
ANZ,Анжи
DYN,Динамо
ZEN,Зенит
KRA,Краснодар
KRY,Крылья Советов
KUB,Кубань
LOK,Локомотив
MOR,Мордовия
ROS,Ростов
RUB,Рубин
SPA,Спартак
TER,Терек
URL,Урал
UFA,Уфа
CSK,ЦСКА
