Team,RUS
ATA,Аталанта
BOL,Болонья
VER,Верона
GEN,Дженоа
INT,Интер
CAR,Карпи
CHI,Кьево
LAZ,Лацио
MIL,Милан
NAP,Наполи
PAL,Палермо
ROM,Рома
SAM,Сампдория
SAS,Сассуоло
TOR,Торино
UDI,Удинезе
FIO,Фиорентина
FRO,Фрозиноне
EMP,Эмполи
JUV,Ювентус
